sys_name,ms,dms,metal,dmetal,Mtp,dMtp,M_r,dM_r,M_gi,dM_gi,com,dcom,N_r,N_gi,n_planets
LP 714-47,0.59,0.02,0.41,0.16,0.0969,0.0047,0.0,0.0,0.0969,0.0047,0.0417,0.004545201238390093,0,1,1
OGLE2-TR-L9,1.52,0.08,-0.05,0.2,4.34,1.48,0.0,0.0,4.34,1.48,0.030800000000000004,0.02150645161290323,0,1,1
WASP-70 A,1.1059999999999999,0.042,-0.006,0.063,0.59,0.022000000000000002,0.0,0.0,0.59,0.022000000000000002,0.048530000000000004,0.004239186440677967,0,1,1
TOI-1728,0.6459999999999999,0.023,0.25,0.1,0.08426,0.01614,0.0,0.0,0.08426,0.01614,0.0391,0.015879207215760745,0,1,1
TOI-172,1.124,0.063,0.146,0.08,5.41,0.2,0.0,0.0,5.41,0.2,0.0913,0.008450462107208874,0,1,1
TOI-169,1.147,0.075,0.24,0.09,0.7909999999999999,0.06,0.0,0.0,0.7909999999999999,0.06,0.03524,0.00613614412136536,0,1,1
TOI-163,1.4352,0.028999999999999998,0.22,0.04,1.22,0.12,0.0,0.0,1.22,0.12,0.057999999999999996,0.012809836065573768,0,1,1
TOI-1601,1.517,0.049,0.32899999999999996,0.075,0.99,0.11,0.0,0.0,0.99,0.11,0.06863999999999999,0.02275333333333333,0,1,1
WASP-71,1.5719999999999998,0.062,0.15,0.07,2.258,0.07200000000000001,0.0,0.0,2.258,0.07200000000000001,0.046310000000000004,0.003553339238263951,0,1,1
TOI-157,0.948,0.018000000000000002,0.24,0.09,1.18,0.13,0.0,0.0,1.18,0.13,0.0318,0.00721677966101695,0,1,1
WASP-72,1.386,0.055,-0.06,0.09,1.4609999999999999,0.055999999999999994,0.0,0.0,1.4609999999999999,0.055999999999999994,0.03708,0.003342546201232033,0,1,1
TOI-150,1.249,0.12,0.25,0.09,2.51,0.12,0.0,0.0,2.51,0.12,0.0643,0.00884820717131474,0,1,1
TOI-1478,0.946,0.04,0.08,0.07,0.847,0.048,0.0,0.0,0.847,0.048,0.0903,0.011534710743801652,0,1,1
TOI-1333,1.464,0.08,0.12,0.08,2.37,0.24,0.0,0.0,2.37,0.24,0.0626,0.013878481012658228,0,1,1
TOI-132,0.97,0.06,0.16,0.1,0.07182999999999999,0.0057,0.0,0.0,0.07182999999999999,0.0057,0.026000000000000002,0.0071264095781706826,0,1,1
WASP-73,1.34,0.04,0.14,0.14,1.88,0.06,0.0,0.0,1.88,0.06,0.05512,0.004048297872340426,0,1,1
TOI-1259A,0.68,0.01,-0.5,0.5,0.441,0.049,0.0,0.0,0.441,0.049,0.0407,0.010184444444444446,0,1,1
WASP-74,1.48,0.12,0.39,0.13,0.826,0.013999999999999999,0.0,0.0,0.826,0.013999999999999999,0.03443,0.0015171186440677965,0,1,1
TOI-1235,0.63,0.024,0.33,0.16,0.0186,0.00195,5.905499999999999,0.6191249999999999,0.0,0.0,0.03826,0.008512258064516129,1,0,1
TIC 237913194,1.026,0.057,0.14,0.05,1.942,0.002,0.0,0.0,1.942,0.002,0.1207,0.003948609680741504,0,1,1
Qatar-9,0.7190000000000001,0.024,0.25,0.08,1.19,0.16,0.0,0.0,1.19,0.16,0.0234,0.009292436974789917,0,1,1
Qatar-8,1.0290000000000001,0.051,0.025,0.07,0.371,0.062,0.0,0.0,0.371,0.062,0.04739999999999999,0.016642587601078163,0,1,1
Qatar-7,1.409,0.026000000000000002,0.276,0.071,1.88,0.25,0.0,0.0,1.88,0.25,0.0352,0.009561702127659574,0,1,1
Qatar-6 A,0.8220000000000001,0.021,-0.025,0.09300000000000001,0.6679999999999999,0.066,0.0,0.0,0.6679999999999999,0.066,0.0423,0.00875868263473054,0,1,1
Qatar-5,1.128,0.055999999999999994,0.377,0.08,4.32,0.18,0.0,0.0,4.32,0.18,0.04127,0.010139166666666668,0,1,1
Qatar-4,0.8959999999999999,0.063,0.10300000000000001,0.081,5.85,0.47,0.0,0.0,5.85,0.47,0.028610000000000003,0.005077162393162395,0,1,1
Qatar-3,1.145,0.064,-0.040999999999999995,0.081,4.31,0.47,0.0,0.0,4.31,0.47,0.03783,0.00894062645011601,0,1,1
Qatar-2,0.74,0.037000000000000005,0.02,0.08,2.494,0.054000000000000006,0.0,0.0,2.494,0.054000000000000006,0.02153,0.0011323336006415397,0,1,1
Qatar-10,1.156,0.068,0.016,0.08900000000000001,0.736,0.09,0.0,0.0,0.736,0.09,0.028600000000000004,0.007594565217391305,0,1,1
Qatar-1,0.838,0.016,0.171,0.094,1.294,0.049,0.0,0.0,1.294,0.049,0.02332,0.0020861205564142197,0,1,1
POTS-1,0.695,0.05,-0.03,0.15,2.31,0.77,0.0,0.0,2.31,0.77,0.03734,0.02579333333333333,0,1,1
LTT 1445A,0.256,0.013999999999999999,-0.34,0.09,0.0264,0.0264,8.382,8.382,0.0,0.0,0.03807,0.07684,1,0,1
LHS 1815,0.502,0.015,-0.12,0.09,0.0132,0.0047,4.191,1.49225,0.0,0.0,0.0404,0.03816969696969697,1,0,1
WASP-86,1.239,0.027999999999999997,0.23,0.14,0.95,0.14,0.0,0.0,0.95,0.14,0.0617,0.019485263157894738,0,1,1
TOI-201,1.3159999999999998,0.027000000000000003,0.24,0.36,0.42,0.03,0.0,0.0,0.42,0.03,0.3,0.07285714285714286,0,1,1
Kepler-44,1.12,0.08,0.15,0.1,1.0,0.1,0.0,0.0,1.0,0.1,0.0446,0.010020000000000001,0,1,1
Kepler-435,1.54,0.09,-0.18,0.11,0.84,0.15,0.0,0.0,0.84,0.15,0.0948,0.03565714285714285,0,1,1
Kepler-434,1.2,0.09,0.25,0.14,2.86,0.35,0.0,0.0,2.86,0.35,0.1143,0.03097552447552447,0,1,1
WTS-2,0.82,0.08199999999999999,0.2,0.3,1.12,0.13,0.0,0.0,1.12,0.13,0.01855,0.004926249999999999,0,1,1
Kepler-433,1.46,0.17,-0.01,0.2,2.82,0.52,0.0,0.0,2.82,0.52,0.0679,0.027741134751773054,0,1,1
Kepler-432,1.32,0.07,-0.07,0.1,5.41,0.18,0.0,0.0,5.41,0.18,0.301,0.03602957486136783,0,1,1
Wolf 940,0.27,0.03,-0.06,0.2,26.0,6.0,0.0,0.0,26.0,6.0,400.0,206.61538461538464,0,1,1
Kepler-43,1.32,0.09,0.33,0.11,3.23,0.19,0.0,0.0,3.23,0.19,0.046,0.007911764705882353,0,1,1
Kepler-428,0.87,0.05,0.09,0.17,1.27,0.19,0.0,0.0,1.27,0.19,0.0433,0.013855905511811026,0,1,1
XO-2N,0.98,0.02,0.45,0.02,0.62,0.02,0.0,0.0,0.62,0.02,0.0369,0.004380645161290323,0,1,1
Kepler-427,0.96,0.06,-0.19,0.07,0.29,0.09,0.0,0.0,0.29,0.09,0.091,0.06648275862068966,0,1,1
Kepler-426,0.91,0.06,-0.21,0.08,0.34,0.08,0.0,0.0,0.34,0.08,0.0414,0.02048235294117647,0,1,1
XO-3,1.41,0.08,-0.08,0.04,11.79,0.59,0.0,0.0,11.79,0.59,0.0454,0.005363850720949958,0,1,1
Kepler-425,0.93,0.05,0.24,0.11,0.25,0.08,0.0,0.0,0.25,0.08,0.0464,0.030496,0,1,1
XO-4,1.32,0.02,-0.04,0.03,1.6159999999999999,0.1,0.0,0.0,1.6159999999999999,0.1,0.05485,0.007208366336633664,0,1,1
XO-5,0.88,0.03,0.18,0.03,1.077,0.037000000000000005,0.0,0.0,1.077,0.037000000000000005,0.0487,0.0039461467038068715,0,1,1
Kepler-424,1.01,0.054000000000000006,0.44,0.14,1.03,0.13,0.0,0.0,1.03,0.13,0.044000000000000004,0.015106796116504855,0,1,1
Kepler-423,0.85,0.04,-0.1,0.05,0.595,0.081,0.0,0.0,0.595,0.081,0.03585,0.010900840336134456,0,1,1
Kepler-422,1.15,0.06,0.23,0.09,0.43,0.13,0.0,0.0,0.43,0.13,0.08199999999999999,0.059581395348837204,0,1,1
XO-6,1.47,0.06,-0.07,0.1,1.9,0.5,0.0,0.0,1.9,0.5,0.0815,0.05059473684210526,0,1,1
Kepler-412,1.17,0.09,0.27,0.12,0.941,0.019,0.0,0.0,0.941,0.019,0.02897,0.0020898831030818276,0,1,1
XO-7,1.405,0.059000000000000004,0.43200000000000005,0.057,0.7090000000000001,0.034,0.0,0.0,0.7090000000000001,0.034,0.04420999999999999,0.004860169252468264,0,1,1
eps Eridani,0.83,0.05,-0.13,0.04,0.77,0.2,0.0,0.0,0.77,0.2,3.39,2.1210389610389617,0,1,1
Kepler-41,1.15,0.04,0.38,0.11,0.56,0.08,0.0,0.0,0.56,0.08,0.03101,0.00926,0,1,1
gamma 1 Leo,1.23,0.21,-0.51,0.05,63.88,56.1,0.0,0.0,63.88,56.1,1.19,2.1101377582968066,0,1,1
Kepler-40,1.48,0.06,0.1,0.1,2.2,0.4,0.0,0.0,2.2,0.4,0.08,0.032090909090909094,0,1,1
kappa And,2.8,0.2,-0.36,0.09,13.0,2.0,0.0,0.0,13.0,2.0,100.0,76.76923076923077,0,1,1
Kepler-4,1.22,0.09,0.17,0.06,0.077,0.012,0.0,0.0,0.077,0.012,0.0456,0.015112987012987014,0,1,1
Kepler-39,1.29,0.07,0.1,0.14,20.1,1.3,0.0,0.0,20.1,1.3,0.16399999999999998,0.0242139303482587,0,1,1
Kepler-447,1.0,0.21,0.07,0.05,1.37,0.46,0.0,0.0,1.37,0.46,0.0769,0.05784087591240875,0,1,1
Kepler-454,0.85,0.22,0.27,0.08,0.01905,0.00475,6.048375,1.508125,0.0,0.0,0.0954,0.0487748031496063,1,0,1
Kepler-46,0.902,0.04,0.41,0.1,0.376,0.019,0.0,0.0,0.376,0.019,0.2799,0.0323877659574468,0,1,1
WASP-95,1.11,0.09,0.14,0.16,1.13,0.04,0.0,0.0,1.13,0.04,0.03416,0.003248407079646019,0,1,1
LHS 1478,0.23600000000000002,0.012,-0.13,0.19,0.00733,0.0006,2.3272749999999998,0.19049999999999997,0.0,0.0,0.01848,0.0036553751705320596,1,0,1
WASP-87 A,1.204,0.09300000000000001,-0.41,0.1,2.21,0.16,0.0,0.0,2.21,0.16,0.02946,0.005015701357466064,0,1,1
WASP-88,1.45,0.05,-0.008,0.12,0.56,0.08,0.0,0.0,0.56,0.08,0.06431,0.018994285714285717,0,1,1
WASP-89,0.92,0.08,0.15,0.14,5.9,0.4,0.0,0.0,5.9,0.4,0.0427,0.0069898305084745765,0,1,1
L 168-9,0.62,0.03,0.04,0.17,0.0145,0.00176,4.603750000000001,0.5588000000000001,0.0,0.0,0.020909999999999998,0.0053160827586206895,1,0,1
Kepler-93,1.09,0.14,-0.18,0.1,0.0143,0.00267,4.54025,0.8477250000000001,0.0,0.0,0.05299999999999999,0.02179160839160839,1,0,1
Kepler-91,1.31,0.1,0.11,0.07,0.81,0.17,0.0,0.0,0.81,0.17,0.0731,0.033783950617283946,0,1,1
WASP-90,1.55,0.1,0.11,0.14,0.63,0.07,0.0,0.0,0.63,0.07,0.0562,0.013688888888888891,0,1,1
WASP-91,0.84,0.07,0.19,0.13,1.34,0.08,0.0,0.0,1.34,0.08,0.037000000000000005,0.005417910447761194,0,1,1
